,X,detectionID,surveyID,species,d1,d2,d3,d4,Year
5228,11519,11603,1049,BTNW,-50,-50,45,45,2017
5258,20941,21064,1828,OVEN,-50,-50,45,45,2020
5259,21141,21264,1849,TUTI,-50,-50,45,45,2020
5332,13133,13221,1115,OVEN,45,45,-50,45,2017
5428,10134,10217,935,BAWW,-50,-50,-50,45,2016
5445,13156,13244,1176,HOWA,-50,-50,-50,45,2017
5446,13178,13266,1179,HOWA,-50,-50,-50,45,2017
5487,21868,21993,1907,BTNW,-50,-50,-50,45,2020
5509,7978,8054,753,BAWW,-50,-50,-50,45,2016
5532,7934,8010,749,BTNW,45,45,45,45,2016
5533,9099,9181,841,OVEN,45,45,45,45,2016
5552,13249,13337,1186,BAWW,45,-50,45,45,2017
5553,8242,8320,780,BAWW,45,-50,45,45,2016
5577,9141,9223,844,HOWA,35,35,-50,45,2016
5652,8246,8324,780,OVEN,45,45,45,45,2016
5664,16327,17178,1432,OVEN,45,-50,45,45,2018
5684,8423,8502,787,BLJA,-50,-50,-50,45,2016
5691,18335,18432,1614,BAWW,75,75,75,45,2019
5719,18613,18711,1629,HOWA,-50,85,45,45,2019
5722,13141,13229,1117,OVEN,75,75,45,45,2017
5729,8321,8400,785,HOWA,65,65,45,45,2016
5796,8189,8266,773,OVEN,45,45,45,45,2016
5800,8831,8913,789,BAWW,45,45,45,45,2016
5805,10268,10351,941,BTNW,45,45,45,45,2016
5825,13246,13334,1186,OVEN,45,45,45,45,2017
5841,16335,17186,1432,OVEN,45,45,45,45,2018
5858,20186,20291,1683,TUTI,45,45,45,45,2019
5887,16423,17275,1541,BTNW,-50,45,45,45,2019
5899,6327,6391,603,BAWW,45,45,45,45,2016
5913,10407,10490,944,OVEN,25,25,45,45,2016
5939,16393,17245,1437,OVEN,45,-50,45,45,2018
5959,10123,10206,854,OVEN,-50,-50,45,45,2016
5996,21757,21882,1905,TUTI,25,25,35,45,2020
5998,8255,8333,779,OVEN,25,25,35,45,2016
6006,10255,10338,941,HOWA,25,25,25,45,2016
6009,6367,6431,605,BAWW,45,15,25,45,2016
6015,6334,6398,604,HOWA,15,15,15,45,2016
6066,8220,8297,777,OVEN,65,-50,-50,45,2016
6121,6381,6445,606,BAWW,-50,-50,-50,45,2016
6124,8057,8134,758,OVEN,-50,-50,-50,45,2016
6125,8212,8289,777,OVEN,-50,-50,-50,45,2016
6165,15711,15801,1396,OVEN,-50,-50,-50,45,2018
6166,15764,15854,1401,OVEN,-50,-50,-50,45,2018
6188,18608,18706,1628,BAWW,-50,-50,-50,45,2019
6257,8975,9057,836,OVEN,45,-50,NA,45,2016
6289,9005,9087,836,BTNW,-50,45,45,45,2016
6301,8317,8396,785,BTNW,-50,-50,45,45,2016
6302,13227,13315,1184,HOWA,-50,-50,45,45,2017
6319,7838,7914,741,OVEN,-50,-50,-50,45,2016
6321,8319,8398,785,OVEN,-50,-50,-50,45,2016
6385,15760,15850,1401,OVEN,45,-50,-50,45,2018
6391,8013,8089,755,OVEN,-50,-50,-50,45,2016
6451,8047,8124,758,BTNW,-50,55,55,35,2016
6486,13486,13574,1203,OVEN,55,55,35,35,2017
6493,7976,8052,750,BTNW,45,45,35,35,2016
6552,6343,6407,604,HOWA,35,35,35,35,2016
6580,8229,8307,778,BTNW,35,35,35,35,2016
6590,10127,10210,854,OVEN,35,35,35,35,2016
6593,10214,10297,938,OVEN,35,35,35,35,2016
6594,10313,10396,942,OVEN,35,35,35,35,2016
